ID_Alkalinity,ID_Coral,Chamber,Species,Date,Time,Metabolism,Temperature,At,delta_At,delta_T,delta_At_per_h,Vol_chamber,Vol_coral,Vol_water,delta_At_per_h_per_V,Final_delta_At_Std,Convert_Calcification,Surface_Area,Calcif_mol_cm2_h,Calcif_mmol_m2_day,Calcif_g_cm2_yr,Calcif_kg_m2_yr,Flow,Species_Flow
Metabo_coral_697,Coral_179,Big_T1_03,Montipora_verilli,2018-10-10,14:07:00,Day,29,2503.9917143452,-0.2984246135,1.9166666667,-0.1556997984,3.539,0.22,3.319,-0.5296868215,-0.5938610931,0.2969305465,63.28,0.0046923285,1.1261588364,0.0041140518,0.0411405176,Low,Montipora_verilli_Low
Metabo_coral_741,Coral_185,Medium_T1_01,Porites_lutea,2018-10-11,10:36:00,Day,28.2,2429.9490958332,-97.7942193932,2.45,-39.9160079156,1.138,0.075,1.063,-43.4914843246,-44.0736546625,22.0368273312,78.6881,0.2800528585,67.2126860287,0.2455394926,2.4553949256,High,Porites_lutea_High
Metabo_coral_742,Coral_186,Medium_T1_02,Porites_lutea,2018-10-11,10:37:00,Day,28.2,2352.2757622482,-175.4675529783,2.4666666667,-71.1354944507,1.138,0.082,1.056,-76.9970591934,-77.5792295312,38.7896147656,85.189,0.4553359561,109.280629468,0.3992209193,3.9922091932,High,Porites_lutea_High
Metabo_coral_743,Coral_187,Medium_T1_03,Porites_lutea,2018-10-11,10:38:00,Day,28.2,2470.6664256191,-57.0768896074,2.4833333333,-22.9839823922,1.138,0.063,1.075,-25.3254755984,-25.9076459363,12.9538229681,67.5437,0.1917843258,46.0282381977,0.1681490641,1.6814906409,High,Porites_lutea_High
Metabo_coral_744,Coral_188,Medium_T1_04,Porites_lutea,2018-10-11,10:38:00,Day,28.2,2331.6482866482,-196.0950285782,2.4833333333,-78.9644410382,1.138,0.07,1.068,-86.4423736045,-87.0245439424,43.5122719712,74.0446,0.5876494973,141.035879363,0.5152283043,5.1522830433,High,Porites_lutea_High
Metabo_coral_745,Coral_189,Big_T1_01,Porites_lutea,2018-10-11,10:39:00,Day,28.2,2485.644519946,-43.5071584813,2.5,-17.4028633925,3.539,0.69,2.849,-50.8202767505,-51.4024470883,25.7012235442,649.8386,0.0395501645,9.4920394858,0.0346760514,0.3467605145,Low,Porites_lutea_Low
Metabo_coral_746,Coral_190,Big_T1_02,Porites_lutea,2018-10-11,10:40:00,Day,28.3,2439.2762014337,-89.8754769936,2.5166666667,-35.7121100637,3.539,0.58,2.959,-108.3139370204,-108.8961073583,54.4480536791,547.6816,0.0994155248,23.8597259484,0.0871636792,0.8716367918,Low,Porites_lutea_Low
Metabo_coral_747,Coral_191,Big_T1_03,Porites_lutea,2018-10-11,10:40:00,Day,28.3,2460.6517996126,-68.4998788148,2.5166666667,-27.2184948933,3.539,1.03,2.509,-69.9984837794,-70.5806541173,35.2903270586,965.5966,0.0365476919,8.7714460615,0.0320435998,0.3204359984,Low,Porites_lutea_Low
Metabo_coral_748,Coral_192,Big_T1_04,Porites_lutea,2018-10-11,10:41:00,Day,28.3,2524.319745793,-4.8319326343,2.5333333333,-1.9073418293,3.539,0.71,2.829,-5.5307667861,-6.112937124,3.056468562,668.4126,0.0045727273,1.0974545586,0.0040091901,0.040091901,Low,Porites_lutea_Low
Metabo_coral_791,Coral_197,Medium_T1_01,Porites_lutea,2018-10-11,14:58:00,Day,30,2432.2827727261,-102.1011711385,1.9666666667,-51.9158497315,1.138,0.0508271,1.0871729,-57.8525425312,-59.3205177134,29.6602588567,78.6881,0.3789048124,90.9371549689,0.3322090547,3.3220905465,High,Porites_lutea_High
