OTUID,Phylum,INDO18S12S1A,INDO18S12S1B,INDO18S12S1C,INDO18S12S2A,INDO18S12S2B,INDO18S12S2C,INDO18S13S1A,INDO18S13S1B,INDO18S13S1C
OTU_931,Mollusca,0.000236865,0.000221258,0.000181803,0.000206397,0.000310617,0.000915162,0.001301608,0.002520327,0.002686474
OTU_136,Porifera,0.002644805,0.000707031,4.50E-05,0.000312481,0.000121588,0.000295999,0.000494542,0.000263753,0.000428414
OTU_1702,Bryozoa,0.00194108,0.000852311,0.000126317,0.000284808,0.00020425,0.000360209,0.00163586,0.000543204,0.000251967
OTU_765,Echinodermata,0.000244239,0.000759409,0.000207547,0.0003396,0.000451938,0.000209351,0.003522081,0,0.002234347
OTU_1110,Arthropoda,0.000805919,0.001538889,0.001267,0.000435033,0.000220048,0.000424649,0.001696292,0.000234616,0.000544639
OTU_76,Arthropoda,0.000604688,0.001170738,0.000994705,0.000614666,0.000199896,0.001568585,0.000386822,0.001117174,0.0003882
OTU_311578,Rhodophyta,0.000243778,0.000400622,0.000229062,0.000279068,0.00020923,0.000521638,0.001518382,0.003489668,0.000555031
OTU_712033,Entoprocta,0,6.85E-05,0,2.36E-06,2.27E-06,0,0.007289794,0.000110012,3.24E-05
OTU_267,Sipuncula,0.000351465,0.00044635,3.87E-06,0.000630557,0.002471497,0.000521281,0.000404367,0.000418895,0.002116676
OTU_1242,Arthropoda,0.000360165,0.000427531,0.000906115,0.000918677,0.001272576,0.000851288,0.00114131,0.000421265,0.001237694
OTU_989416,Porifera,1.32E-05,0.002175134,0,1.01E-05,0.005074781,1.15E-05,1.58E-05,0.000433013,0
